Date,Price
3 Jan 2017,0.0485300
4 Jan 2017,0.0475400
5 Jan 2017,0.0478100
6 Jan 2017,0.0481100
9 Jan 2017,0.0455400
10 Jan 2017,0.0479100
11 Jan 2017,0.0470600
12 Jan 2017,0.0492600
13 Jan 2017,0.0496800
16 Jan 2017,0.0496800
17 Jan 2017,0.0498100
18 Jan 2017,0.0481900
19 Jan 2017,0.0491500
20 Jan 2017,0.0469700
23 Jan 2017,0.0476400
24 Jan 2017,0.0482000
25 Jan 2017,0.0489400
26 Jan 2017,0.0496900
27 Jan 2017,0.0491100
30 Jan 2017,0.0472700
31 Jan 2017,0.0455900
1 Feb 2017,0.0463300
2 Feb 2017,0.0466100
3 Feb 2017,0.0447900
6 Feb 2017,0.0446000
7 Feb 2017,0.0457700
8 Feb 2017,0.0457500
9 Feb 2017,0.0459800
10 Feb 2017,0.0446600
13 Feb 2017,0.0434800
14 Feb 2017,0.0431500
15 Feb 2017,0.0435500
16 Feb 2017,0.0425600
17 Feb 2017,0.0422500
20 Feb 2017,0.0422500
21 Feb 2017,0.0389600
22 Feb 2017,0.0388900
23 Feb 2017,0.0394800
24 Feb 2017,0.0401200
27 Feb 2017,0.0388700
28 Feb 2017,0.0401400
1 Mar 2017,0.0406900
2 Mar 2017,0.0407600
3 Mar 2017,0.0411100
6 Mar 2017,0.0417300
7 Mar 2017,0.0408500
8 Mar 2017,0.0416900
9 Mar 2017,0.0426000
10 Mar 2017,0.0429900
13 Mar 2017,0.0434500
14 Mar 2017,0.0418600
15 Mar 2017,0.0425100
16 Mar 2017,0.0414900
17 Mar 2017,0.0420100
20 Mar 2017,0.0433200
21 Mar 2017,0.0441200
22 Mar 2017,0.0429700
23 Mar 2017,0.0437800
24 Mar 2017,0.0440900
27 Mar 2017,0.0437800
28 Mar 2017,0.0444200
29 Mar 2017,0.0451800
30 Mar 2017,0.0446200
31 Mar 2017,0.0446000
3 Apr 2017,0.0437400
4 Apr 2017,0.0460400
5 Apr 2017,0.0456700
6 Apr 2017,0.0465700
7 Apr 2017,0.0455900
10 Apr 2017,0.0452800
11 Apr 2017,0.0440900
12 Apr 2017,0.0445800
13 Apr 2017,0.0451700
17 Apr 2017,0.0445100
18 Apr 2017,0.0443400
19 Apr 2017,0.0448600
20 Apr 2017,0.0445400
21 Apr 2017,0.0437500
24 Apr 2017,0.0433900
25 Apr 2017,0.0434800
26 Apr 2017,0.0448200
27 Apr 2017,0.0444100
28 Apr 2017,0.0448600
1 May 2017,0.0440500
2 May 2017,0.0438000
3 May 2017,0.0442700
4 May 2017,0.0437600
5 May 2017,0.0448100
8 May 2017,0.0435700
9 May 2017,0.0443400
10 May 2017,0.0452100
11 May 2017,0.0462900
12 May 2017,0.0467900
15 May 2017,0.0458700
16 May 2017,0.0443400
17 May 2017,0.0439100
18 May 2017,0.0438700
19 May 2017,0.0448500
22 May 2017,0.0458000
23 May 2017,0.0443000
24 May 2017,0.0441400
25 May 2017,0.0438000
26 May 2017,0.0442700
29 May 2017,0.0442700
30 May 2017,0.0420600
31 May 2017,0.0410700
1 Jun 2017,0.0402300
2 Jun 2017,0.0401100
5 Jun 2017,0.0398800
6 Jun 2017,0.0406800
7 Jun 2017,0.0403900
8 Jun 2017,0.0404900
9 Jun 2017,0.0406000
12 Jun 2017,0.0403700
13 Jun 2017,0.0395100
14 Jun 2017,0.0390500
15 Jun 2017,0.0407300
16 Jun 2017,0.0405100
19 Jun 2017,0.0386800
20 Jun 2017,0.0389200
21 Jun 2017,0.0387400
22 Jun 2017,0.0387200
23 Jun 2017,0.0392000
26 Jun 2017,0.0404500
27 Jun 2017,0.0406600
28 Jun 2017,0.0410300
29 Jun 2017,0.0403700
30 Jun 2017,0.0402900
3 Jul 2017,0.0392500
4 Jul 2017,0.0392500
5 Jul 2017,0.0377100
6 Jul 2017,0.0382900
7 Jul 2017,0.0379700
10 Jul 2017,0.0388700
11 Jul 2017,0.0403800
12 Jul 2017,0.0395400
13 Jul 2017,0.0391800
14 Jul 2017,0.0394900
17 Jul 2017,0.0399700
18 Jul 2017,0.0408500
19 Jul 2017,0.0406100
20 Jul 2017,0.0403100
21 Jul 2017,0.0393600
24 Jul 2017,0.0383100
25 Jul 2017,0.0389600
26 Jul 2017,0.0387300
27 Jul 2017,0.0394400
28 Jul 2017,0.0390900
31 Jul 2017,0.0371400
1 Aug 2017,0.0374700
2 Aug 2017,0.0373600
3 Aug 2017,0.0372200
4 Aug 2017,0.0368700
7 Aug 2017,0.0372300
8 Aug 2017,0.0374900
9 Aug 2017,0.0382400
10 Aug 2017,0.0394100
11 Aug 2017,0.0393300
14 Aug 2017,0.0392100
15 Aug 2017,0.0389700
16 Aug 2017,0.0385200
17 Aug 2017,0.0390300
18 Aug 2017,0.0385600
21 Aug 2017,0.0392200
22 Aug 2017,0.0389300
23 Aug 2017,0.0388800
24 Aug 2017,0.0391300
25 Aug 2017,0.0384100
28 Aug 2017,0.0388400
29 Aug 2017,0.0391300
30 Aug 2017,0.0386300
31 Aug 2017,0.0397600
1 Sep 2017,0.0402000
4 Sep 2017,0.0402000
5 Sep 2017,0.0390200
6 Sep 2017,0.0393400
7 Sep 2017,0.0391300
8 Sep 2017,0.0380000
11 Sep 2017,0.0387000
12 Sep 2017,0.0393100
13 Sep 2017,0.0399600
14 Sep 2017,0.0400800
15 Sep 2017,0.0395400
18 Sep 2017,0.0409500
19 Sep 2017,0.0406900
20 Sep 2017,0.0403600
21 Sep 2017,0.0385400
22 Sep 2017,0.0387200
25 Sep 2017,0.0383000
26 Sep 2017,0.0384500
27 Sep 2017,0.0392300
28 Sep 2017,0.0386700
29 Sep 2017,0.0385400
2 Oct 2017,0.0373700
3 Oct 2017,0.0371000
4 Oct 2017,0.0376800
5 Oct 2017,0.0374600
6 Oct 2017,0.0366900
9 Oct 2017,0.0363200
10 Oct 2017,0.0369900
11 Oct 2017,0.0369200
12 Oct 2017,0.0378200
13 Oct 2017,0.0380500
16 Oct 2017,0.0375400
17 Oct 2017,0.0377800
18 Oct 2017,0.0371500
19 Oct 2017,0.0374300
20 Oct 2017,0.0377000
23 Oct 2017,0.0381500
24 Oct 2017,0.0378900
25 Oct 2017,0.0372600
26 Oct 2017,0.0369300
27 Oct 2017,0.0360800
30 Oct 2017,0.0360600
31 Oct 2017,0.0352000
1 Nov 2017,0.0350900
2 Nov 2017,0.0354900
3 Nov 2017,0.0360300
6 Nov 2017,0.0376000
7 Nov 2017,0.0378200
8 Nov 2017,0.0380600
9 Nov 2017,0.0383500
10 Nov 2017,0.0384600
13 Nov 2017,0.0379400
14 Nov 2017,0.0372600
15 Nov 2017,0.0369800
16 Nov 2017,0.0366800
17 Nov 2017,0.0371200
20 Nov 2017,0.0365300
21 Nov 2017,0.0361800
22 Nov 2017,0.0355800
23 Nov 2017,0.0355800
24 Nov 2017,0.0339200
27 Nov 2017,0.0351000
28 Nov 2017,0.0363900
29 Nov 2017,0.0369800
30 Nov 2017,0.0351900
1 Dec 2017,0.0356100
4 Dec 2017,0.0347200
5 Dec 2017,0.0339000
6 Dec 2017,0.0339900
7 Dec 2017,0.0321400
8 Dec 2017,0.0322400
11 Dec 2017,0.0328600
12 Dec 2017,0.0311400
13 Dec 2017,0.0315400
14 Dec 2017,0.0312400
15 Dec 2017,0.0304500
18 Dec 2017,0.0317300
19 Dec 2017,0.0310900
20 Dec 2017,0.0303800
21 Dec 2017,0.0298500
22 Dec 2017,0.0305900
26 Dec 2017,0.0306900
27 Dec 2017,0.0314900
28 Dec 2017,0.0335800
29 Dec 2017,0.0339000
2 Jan 2018,0.0346900
3 Jan 2018,0.0342000
4 Jan 2018,0.0328200
5 Jan 2018,0.0320300
8 Jan 2018,0.0323400
9 Jan 2018,0.0332800
10 Jan 2018,0.0329300
11 Jan 2018,0.0341300
12 Jan 2018,0.0349200
15 Jan 2018,0.0349200
16 Jan 2018,0.0345600
17 Jan 2018,0.0352800
18 Jan 2018,0.0348700
19 Jan 2018,0.0343200
22 Jan 2018,0.0342000
23 Jan 2018,0.0354600
24 Jan 2018,0.0359400
25 Jan 2018,0.0361600
26 Jan 2018,0.0370500
29 Jan 2018,0.0369600
30 Jan 2018,0.0372800
31 Jan 2018,0.0349500
1 Feb 2018,0.0333300
2 Feb 2018,0.0332100
5 Feb 2018,0.0320600
6 Feb 2018,0.0322000
7 Feb 2018,0.0315300
8 Feb 2018,0.0314800
9 Feb 2018,0.0303300
12 Feb 2018,0.0300700
13 Feb 2018,0.0305600
14 Feb 2018,0.0306100
15 Feb 2018,0.0305300
16 Feb 2018,0.0303100
19 Feb 2018,0.0303100
20 Feb 2018,0.0308400
21 Feb 2018,0.0311600
22 Feb 2018,0.0311400
23 Feb 2018,0.0309300
26 Feb 2018,0.0312200
27 Feb 2018,0.0312300
28 Feb 2018,0.0310500
1 Mar 2018,0.0314300
2 Mar 2018,0.0314100
5 Mar 2018,0.0315300
6 Mar 2018,0.0320000
7 Mar 2018,0.0323200
8 Mar 2018,0.0321000
9 Mar 2018,0.0317800
